Mes,Data,Modelo,EMAE4.SA,GFSA3.SA,AGRO3.SA,BRAP4.SA,BRPR3.SA,MGLU3.SA,OIBR3.SA,CSNA3.SA,PCAR3.SA,BBAS3.SA,PLPL3.SA,RDOR3.SA,PSSA3.SA,TIMS3.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,EMBR3.SA,MOVI3.SA,CMIG4.SA,VLID3.SA,MSFT34.SA,AERI3.SA,CXSE3.SA,BPAC11.SA,TEND3.SA,TRIS3.SA,HBOR3.SA,POSI3.SA,TRAD3.SA,PRIO3.SA,MRVE3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,PETR4.SA,BRIV3.SA,SUZB3.SA,SBSP3.SA,VALE3.SA,EVEN3.SA,VIVT3.SA,SANB11.SA,LREN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,TOTS3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,ASAI3.SA,TFCO4.SA
2024-09,2024-09-01,RF,,,,,,,0.0234726050155463,,,,,,,,0.26264041039786157,,,,,,0.1687892237644926,,0.06778720985858104,0.3837533195887661,,,,,,,,,,,,,,,,,,,,0.056170775920237274,,,,0.03283695994702018,,,,,,0.004549495507495101,,,,,,
2024-10,2024-10-01,RF,,,,0.09827064795344086,,,,0.002050938411164299,,,,,0.2796571085932661,,,,0.014113523656508723,,,,,,,,,,,,,0.06414077089867938,,,,,,,,,,0.3771913433026108,,0.16406172051542323,,,,,,,,,,,,,,,,,,
2024-11,2024-11-01,RF,,,,,,,,,,,0.07392484136567812,,,,,,,,,,0.07338935442505194,,,,,0.15951006960730732,0.10475658428010003,,0.13867979339026282,0.020830101452332137,,,,,,,,0.3999999999999824,,,,,,,0.028909255479285332,,,,,,,,,,,,,,,
2024-12,2024-12-01,RF,,,,,,,,,,,,,,,,,,0.09616300254404858,,0.2205201379439288,0.015031884088764458,0.09032055687426736,,0.05027318691988828,,,,,,,,,,,0.14403964227164745,0.2143935836569018,,0.1692580057005532,,,,,,,,,,,,,,,,,,,,,,
2025-01,2025-01-01,RF,0.12320621584344184,,,,,,,,,,,,,,,,,0.024194603925947696,,,,0.2739907160515372,,,,,,,,0.009978215833788332,0.02540077133731085,,,,,0.09692996369761635,,0.2786433502312446,,,,,,,,,,,,,,,,,0.16765616307911324,,,,,
2025-02,2025-02-01,RF,,,,,,,0.011553285734687333,,,,0.08481122622813397,,,,,,0.010990728910290237,,,,,,,,0.2437427308079727,0.019484072106380503,0.2405967422205692,,,,,,,0.2260908301088563,,,,,,,,,,,,,,,,,0.16273038388310965,,,,,,,,,
2025-03,2025-03-01,RF,,,,,,,,,,,,,,,,,,0.19896273610667448,,,0.056327633327186294,,,,,,,,,,,,,,,,,,,,,,,,,,0.17141772626233137,,,,0.04473393363104511,,,,,0.39413012322693397,0.13442784744582892,,,
2025-04,2025-04-01,RF,,0.4,,,,0.07297348852957512,,,0.2546094227258545,,,,,,,,,,0.0987230044976072,,,,,,,,,0.04215872822147361,,0.09185069828426391,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03968465774122557,,
2025-05,2025-05-01,RF,,,,,,,,,0.14285321091098163,,,,,,,,,,0.09755980211349213,,,,,,,,0.1982832293837191,0.24952393315552085,0.12672894459861528,,,,,,,,,,,,,,,0.005721363019858319,,,,,,,,,,,,,,0.15831666913222253,0.02101284768559025,
2025-06,2025-06-01,RF,,,,,,,,,,,0.04062397668467969,0.23288878895826823,,,,,,,,,,,,,,0.08816115325697575,,,,0.07356486312136862,,,,,,,,,,,0.08766851049233033,,,,,,,,,,,,,,,,,,0.07709270748637852,0.4
2025-07,2025-07-01,RF,,,,,,,,,,,,,0.10689526498326254,0.14638624079992119,0.1957937206657524,,,0.09369544588944673,,,,,,,,,,,,,,0.04279881961347102,,,,,,,,,,0.06394381281141222,,0.02418270251952046,,,,,0.3263039927172134,,,,,,,,,,,
2025-08,2025-08-01,RF,,,,,,,,,0.06474697460055057,,,,,,0.08854068361439177,,,0.07633510387561558,,,,0.4,,,,,,0.07234227312755363,,,,,,,0.0907399284567582,,,,,,,,,,,,,0.029716839964275873,,,0.17757819636085428,,,,,,,,,
2025-09,2025-09-01,RF,,,,,,,,,,,,0.227106301458783,,,,,,,,,,,,,0.18221512739023035,,,0.018221007538713717,,,,0.062029354441557084,,0.06397228069530374,,,,,,,,,,,,0.17348613791357265,,,,,,,,,,,0.27296979056183956,,,
2025-10,2025-10-01,RF,0.26502427772105763,,,,,,,,,,0.03300855999613846,,,,0.23047151939900887,,0.022623362333179263,,0.007307457215222772,,,,,,0.040518132503072485,,,0.0010466908323210065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39999999999999963,,,
