Mes,Data,Modelo,BRIV3.SA,EMAE4.SA,PLPL3.SA,PRIO3.SA,PINE4.SA,BRAP4.SA,AGRO3.SA,GFSA3.SA,GGBR4.SA,CSNA3.SA,EMBR3.SA,WEGE3.SA,VALE3.SA,MSFT34.SA,BRPR3.SA,BBAS3.SA,CXSE3.SA,AZUL4.SA,TEND3.SA,MGLU3.SA,AERI3.SA,TRIS3.SA,MRVE3.SA,HBOR3.SA,VLID3.SA,TRAD3.SA,PETR4.SA,TFCO4.SA,VIVT3.SA,SBSP3.SA,USIM5.SA,OIBR3.SA,EVEN3.SA,DIRR3.SA,POSI3.SA,CMIG4.SA,PSSA3.SA,EGIE3.SA,PETZ3.SA,RDOR3.SA,LREN3.SA,SUZB3.SA,TOTS3.SA,B3SA3.SA,PCAR3.SA,ASAI3.SA,ELET3.SA,MOVI3.SA,BBDC4.SA
2023-01,2023-01-01,retorno_ultimos_5m,0.0898207155271553,0.20954650918599801,0.008822157544422534,0.15481637748029625,0.27592283378628957,0.2044453667768295,0.05662603969900887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,retorno_ultimos_5m,0.1638028646827541,0.1324663854659569,0.05879055182280525,0.1467111220686811,,0.29404613364876064,,0.017493183066529357,0.1866897592445127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,retorno_ultimos_5m,,0.06999819726276556,,,,0.13762432799007066,,0.007657250116115905,0.10561345083108295,0.06434052299598832,0.24754143167644907,0.3089690755074521,0.0582557436200755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,retorno_ultimos_5m,0.1193903472585093,,0.05530381483517661,,,0.06364693350435495,,,,0.0804554961243142,0.3840116478816727,,0.19909699853931523,0.09809476185665703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,retorno_ultimos_5m,,0.12663032390460946,0.08094713210648294,,,,,0.023953147463611053,,,0.2618195356327965,,,,0.010716708773863305,0.2371899420955978,0.2587432100230392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,retorno_ultimos_5m,,,0.21638788608721518,,0.3999999999999999,,,,,,,,,,0.01639935152982349,,,0.027610931754936265,0.11491308374334902,0.05119468849019287,0.034880561936785244,0.13861349645769797,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,retorno_ultimos_5m,,,0.22362448349749953,,0.17750813664562298,,,,,,,,,,0.014201137990006017,,,0.17763574369352342,0.20951606522922692,,,0.15662381753441876,0.010848458031286284,0.030042157378416232,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,retorno_ultimos_5m,,,0.17905703147794197,,0.099731585261308,,,,,,,,,,0.21019780579292763,,,0.1156028731011801,0.09889765661951952,,,0.14027327377771776,0.09070439552954253,0.06553537843986249,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,retorno_ultimos_5m,,,0.08658667509617715,,0.08949291906911411,,,,,,,,,,0.115352657925891,,,,0.13080133130149388,,,0.08381945399867718,0.08580798453319133,,0.39999999999999997,0.008138978075455402,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,retorno_ultimos_5m,,,0.04698466685936541,,0.162057457941363,,,,,,,,,,,,,0.007759499447026965,0.07445390436362602,,,0.03004693545749994,0.08414655524389804,,0.2326193994506253,,0.3619315812365954,,,,,,,,,,,,,,,,,,,,,,
2023-11,2023-11-01,retorno_ultimos_5m,,,0.022558499945428252,0.16264272273085564,0.04657183012720361,,0.12127308069796804,,,,,,,,,,,,0.008365239046945739,,,,,,,0.012387002824762029,0.3730424241401837,0.25315920048665314,,,,,,,,,,,,,,,,,,,,,
2023-12,2023-12-01,retorno_ultimos_5m,,,,0.045401517389745114,0.09206231489420477,,,,,0.25422446539253607,,,0.010659446551948061,,,,,,,,,,,,0.06653294183214709,,0.27034785951638,,0.26077145442303895,,,,,,,,,,,,,,,,,,,,
2024-01,2024-01-01,retorno_ultimos_5m,,,,,0.0647907618428273,,,0.032204323232671604,,0.0981046577680206,,,,,,,,,0.007043697480313729,,,,,,0.08781665490585204,,0.3081820009520873,,,0.26569446197705215,0.13616344184117532,,,,,,,,,,,,,,,,,,
2024-02,2024-02-01,retorno_ultimos_5m,,,,,,,,0.014372299550872655,,0.04377944434236253,,,,0.15459301506900022,,,0.4,,,,,,,,0.029886641634937063,,0.1512511695185068,,,0.1214347933619624,0.08468263652235836,,,,,,,,,,,,,,,,,,
2024-03,2024-03-01,retorno_ultimos_5m,,,0.078535808240913,,,,,0.034000373765763696,,0.0954711822885791,0.2004566337268195,,,,,,,,,,,,,,,,,,,,0.29775811467326674,0.07639640285075108,0.09302126119108117,0.12436022326282566,,,,,,,,,,,,,,,
2024-04,2024-04-01,retorno_ultimos_5m,,,0.048379287228725205,,,,,0.015701716243606112,,0.14100346846927533,0.30188937448355857,,,,,,,,,,,,,,,,,,,,0.21510990560548354,,,0.21382240901582134,0.06409383895352999,,,,,,,,,,,,,,
2024-05,2024-05-01,retorno_ultimos_5m,,,,,,,,,,,0.1521249624551401,,,,,,0.2543567945687957,,,,,,,,,,0.13263881244360928,,,,,0.018098423344021293,,0.09621266411640451,0.08690607890270367,0.25966226404645537,,,,,,,,,,,,,
