Mes,Data,Modelo,GFSA3.SA,EMAE4.SA,AGRO3.SA,BRPR3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,PCAR3.SA,CSNA3.SA,BBAS3.SA,PSSA3.SA,TIMS3.SA,SUZB3.SA,MSFT34.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,PLPL3.SA,MOVI3.SA,EMBR3.SA,VLID3.SA,CMIG4.SA,BPAC11.SA,TRIS3.SA,TEND3.SA,MRVE3.SA,HBOR3.SA,LREN3.SA,TRAD3.SA,POSI3.SA,ASAI3.SA,PRIO3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,SLCE3.SA,PETR4.SA,BRIV3.SA,SBSP3.SA,VALE3.SA,VIVT3.SA,SANB11.SA,TOTS3.SA,EVEN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,CXSE3.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,RDOR3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,BBDC4.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,HYPE3.SA,TFCO4.SA
2024-07,2024-07-01,retorno_ultimo_mes,,,,,,,,,,,,,0.10439861752159567,0.21113870033233642,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07441404929403952,,,0.010237839221580917,,,,,,,0.08720716528106233,0.11260362834934534,,,,,,,,
2024-08,2024-08-01,retorno_ultimo_mes,,,,,,,,,,,,0.12055079121676492,,,,0.4,,0.05311651626806271,0.0015088982691913993,0.08667110349709248,0.10081585841835941,,,,0.030213837641767584,,,,,,,,,,,,,,0.2071229946887279,,,,,,,,,,,,,,,,,,,,,,,
2024-09,2024-09-01,retorno_ultimo_mes,,,,,,0.21618659761097203,0.003603416024965304,,,,,,,,,,,,,,0.1964230980755829,,,,,,,0.09560518739027127,,,,,,,,,,,,,,,,,,,,,0.07998157444374751,,,,,,0.008200126454462688,0.4,,,,,,
2024-10,2024-10-01,retorno_ultimo_mes,,,,,,,0.00388410469992587,,0.013320668202002074,,0.36621841554716766,,,,,,0.014059116382175527,,,,,,,,,,,,0.0736370640507995,,,,,,,,,,,0.2671548596475215,0.20497983652263224,,,,,0.05674593494777569,,,,,,,,,,,,,,,,
2024-11,2024-11-01,retorno_ultimo_mes,,,,,,,,,,,,,0.3999999999999862,,,,,0.0782046872752699,,0.09839097886332136,,,,,0.14390111184012466,,,,0.02801249113535608,0.15040406761183484,0.0846939910135288,,,,,,,,,,,,,,0.016392672260578077,,,,,,,,,,,,,,,,,
2024-12,2024-12-01,retorno_ultimo_mes,,,,,,,,,,,,,0.12102392737203437,,,,,,,0.1276102347905972,0.024971923757698668,0.24712264758427113,,,,,,,0.0014586168564731901,,,,,,0.19008884603706974,,0.2273783664988812,,,,,,,,,,,0.06034543710297457,,,,,,,,,,,,,,
2025-01,2025-01-01,retorno_ultimo_mes,,0.0775481370746546,,,,0.007312551634379446,,,,,,,0.2979038202758567,0.2962425992773894,,,,,,,,,,,,,,,0.014975966354792892,,,0.0471377173458481,,,,0.08695141853973766,,,,,,,,,,,,,,,,,,,,,0.17192778949734122,,,,,
2025-02,2025-02-01,retorno_ultimo_mes,,,,,,,0.01203717718376804,,,,,,,,,,0.027285590562070573,0.07551511015401105,,,,,0.35377556276896377,0.196111302291568,,,,,,,0.02262238048498328,,,0.13530976294337602,,,,,,,,,0.17734311361125935,,,,,,,,,,,,,,,,,,,
2025-03,2025-03-01,retorno_ultimo_mes,,,,,,,,,,,,0.057259988002231324,,,,,,,,0.21671738738014099,0.06482601288293381,,,,,,,,,,,,,,,,,,,,,,0.06814162625256873,,,,,0.019560779952448662,,,,,,,,,,0.39999999999999875,0.17349420552967745,,,
2025-04,2025-04-01,retorno_ultimo_mes,0.24939538151160243,,,,0.04679886358115314,,,0.05885702579730739,,,,,,,,,,,0.09310652153012591,,,,,,,,0.03478724343159148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39999999999999936,,0.11705496414822074,,
2025-05,2025-05-01,retorno_ultimo_mes,,,,,,,,0.15067280557961693,,,,,,,,,,,0.04204858530923862,,,,,,,,0.1693789937575575,,,0.07125566321442649,0.004652527672744705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16199142446641535,0.4,
2025-06,2025-06-01,retorno_ultimo_mes,,,,,,,,,,,0.21799511023651885,,,,,,,0.05214969474090864,,,,,,,0.092916290099331,,,,0.06220957639926718,,0.04681312783248337,,,,,,,,,,,,,0.12791620069148826,,,,,,,,,,,,,,,,,,0.4
2025-07,2025-07-01,retorno_ultimo_mes,,,,,,,,,,,,0.17975869648782758,,,0.19865789799267092,,,,,0.10725400062450319,,,,,,0.06637342448469671,,0.021076679789666288,,,,,0.0021203484831543882,,,,,,,,0.15183163281913634,,,,,,,,,0.2729273192901871,,,,,,,,,,,,
2025-08,2025-08-01,retorno_ultimo_mes,,,,,,,,0.062282570013705345,,,,,,0.3999999999999878,0.06226805610714476,,,,,,,,,,,,0.07473413633384333,,0.0499297349092362,,,,,,0.09609180787473541,,,,,,,,0.21442094104860077,,,,,,0.04027275371274632,,,,,,,,,,,,,
2025-09,2025-09-01,retorno_ultimo_mes,,,,,,,,,,,,,,,,,,,,,,,0.15900086956427906,,,0.07176073401155152,,,,,,,,0.020236632471554095,,,,,,,,,,,,0.11571433657747178,,,,,,0.34430824633200074,,,,,,,0.2889791810431419,,,
2025-10,2025-10-01,retorno_ultimo_mes,,0.2896787687918761,,,0.009325159987267058,,,,,,,,,,0.3198014197111629,,0.034875752164444544,0.07042125446923031,0.026308524746867182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24879105735283055,,,
