Mes,Data,Modelo,PRIO3.SA,POSI3.SA,EMAE4.SA,ASAI3.SA,WEGE3.SA,BRAP4.SA,BPAC11.SA,DIRR3.SA,CSNA3.SA,BRPR3.SA,PLPL3.SA,PETR4.SA,TOTS3.SA,CXSE3.SA,MSFT34.SA,TRIS3.SA,PINE4.SA
2023-01,2023-01-01,retorno_historico,0.39999999999999997,0.008091133353019003,0.00911859721220354,0.25241019245006596,0.11498128995660531,0.21539878702810678,,,,,,,,,,,
2023-02,2023-02-01,retorno_historico,0.3632617362041613,0.026809761155580716,0.06867900780909983,0.12111070046270103,0.1862647877215061,0.22443665106388475,0.009437355583065996,,,,,,,,,,
2023-03,2023-03-01,retorno_historico,0.2418144774431333,0.056305870726952936,0.03118396129142011,,0.39999999999999997,0.21872531287183675,0.025953999397589154,0.019200521807350768,0.006815856461717086,,,,,,,,
2023-04,2023-04-01,retorno_historico,0.11929715347294362,0.009375724744166026,0.02538839275055932,,0.360530670935306,0.11923343437518123,,,,0.3661746237218438,,,,,,,
2023-05,2023-05-01,retorno_historico,0.1919514832047911,0.05544453725675936,0.08029218385815226,,0.4,,0.10463446300513095,0.1324203385126267,,0.0030682935435254245,0.032188700619010316,,,,,,
2023-06,2023-06-01,retorno_historico,0.18483460991408354,0.060237076948308176,0.050617349882787044,,0.3999999999999998,,0.0973202846257578,0.10110945850743643,,0.002667603126357857,0.1032136169952694,,,,,,
2023-07,2023-07-01,retorno_historico,0.22688108938665102,0.026800153175156292,0.047416028289392065,,0.3999999999999997,,0.12404653029700206,0.11712842911574625,,0.0023688417014577747,0.055358928034594905,,,,,,
2023-08,2023-08-01,retorno_historico,0.19615495611757316,0.015782641417111914,0.03721352912134479,,0.4,,0.21567525616893565,0.05790349432307183,,0.026808265386076304,0.05046185746588629,,,,,,
2023-09,2023-09-01,retorno_historico,0.21165408179650397,0.0700683573246688,0.14135385685105872,,0.24428653614944493,,0.22227302587418374,0.06060372072783473,,0.017727870714537314,0.032032550561767764,,,,,,
2023-10,2023-10-01,retorno_historico,0.3306748368835498,0.0595516648626309,0.1790904513367302,,,,0.20498067597454053,0.081098655135341,,,0.012701005779322032,0.13189189314615038,,,,,
2023-11,2023-11-01,retorno_historico,0.2466615233349413,0.05304701264818409,0.21762742720016312,,,,0.21758123999801993,0.037735830849455386,,,0.028254669166884235,0.08342724974530967,0.11566504705704214,,,,
2023-12,2023-12-01,retorno_historico,0.2241773495161019,0.03513699014051477,0.2162186087902831,,,,0.13043753499166202,0.0028487374020937685,0.1861380654706312,,0.020094978305923265,0.18494773538278977,,,,,
2024-01,2024-01-01,retorno_historico,0.18844793052064004,0.03149979519038014,0.16987388153568564,,,,0.12254652564033856,0.01177812457046896,0.049001875202057024,,0.02685186734042926,,,0.4,,,
2024-02,2024-02-01,retorno_historico,0.12212162519137619,0.02615162131525563,0.11874484624010824,,,,0.09279914000466816,0.015729942085680872,,,0.03512094953522246,0.18933187562768836,,0.4,,,
2024-03,2024-03-01,retorno_historico,0.12448664207484106,0.04996804633376984,0.1610116688658952,,,,0.15538246157531982,0.02759084781188754,,,0.047912916992855374,0.196654131231375,,0.23699328511405612,,,
2024-04,2024-04-01,retorno_historico,0.18763314551395505,0.05242114664284839,0.11881611362399762,,,,0.22961218651998755,0.06183735315949419,,,0.030666790726223584,0.12141549646370832,,0.1975977673497853,,,
2024-05,2024-05-01,retorno_historico,0.2356761985384139,0.045710889063932,0.026150841279707907,,,,0.22138527719635534,0.1247059316472958,,,0.016654050203767864,0.12463097511260741,,0.20508583695791974,,,
2024-06,2024-06-01,retorno_historico,0.2783036682241677,0.02603591151778807,,,,,0.18733420230132816,0.08246110571431091,,,0.0036101102797270416,,,0.207468864224575,0.21478613773810307,,
2024-07,2024-07-01,retorno_historico,0.20374386976486772,0.02540359927780236,0.0027506988759385042,,0.4,,0.10606140212623356,0.0732960961678287,,,0.0122305884968814,,,,0.17651374529044767,,
2024-08,2024-08-01,retorno_historico,0.2738254886132862,0.026514426437197525,0.007003344703367218,,0.33350984648393456,,0.10797889039866601,0.04939420613199094,,,0.009057697426162121,,,0.19271609980539536,,,
2024-09,2024-09-01,retorno_historico,0.17555708491247773,0.051319540239694254,0.09436652992370355,,0.10619775440494801,,0.15127666143903148,0.14858952858622326,,,0.01587163996673586,,,0.25682126052718596,,,
2024-10,2024-10-01,retorno_historico,0.19431514835025576,0.041682445327524395,0.08329023854120954,,0.0877305252482895,,0.18780677093116005,0.18175393319806826,,,0.029111697069725564,0.19430924133376692,,,,,
2024-11,2024-11-01,retorno_historico,0.16477295427539823,0.03859261427790134,0.058526148170710605,,0.08186480485738089,,0.21751585499983472,0.20497939053326386,,,0.037846859602744025,0.19590137328276644,,,,,
