Mes,Data,Modelo,PRIO3.SA,POSI3.SA,EMAE4.SA,ASAI3.SA,WEGE3.SA,BRAP4.SA,BPAC11.SA,DIRR3.SA,CSNA3.SA,BRPR3.SA,PLPL3.SA,PETR4.SA,TOTS3.SA,CXSE3.SA,MSFT34.SA,TRIS3.SA,PINE4.SA
2023-01,2023-01-01,retornohistorico,0.39999999999999986,0.008090817289392063,0.009118807283468484,0.25240973026192653,0.11498241900542729,0.2153982261597851,,,,,,,,,,,
2023-02,2023-02-01,retornohistorico,0.3632617287592908,0.02680970368640398,0.06867891644315226,0.12111049686799938,0.1862648839012971,0.22443683068150458,0.009437439660351916,,,,,,,,,,
2023-03,2023-03-01,retornohistorico,0.2418147845295744,0.05630584327368955,0.03118394775320885,,0.4,0.2187249573901845,0.02595418719620442,0.01920039885574173,0.006815881001396536,,,,,,,,
2023-04,2023-04-01,retornohistorico,0.11929690807642411,0.009375825797043184,0.025388347673618625,,0.36053103544214116,0.11923376749883552,,,,0.3661741155119378,,,,,,,
2023-05,2023-05-01,retornohistorico,0.1919514559007182,0.05544474048128748,0.08029223515954896,,0.3999999999999966,,0.1046343968634258,0.1324201231363369,,0.0030682895240588836,0.03218875893462732,,,,,,
2023-06,2023-06-01,retornohistorico,0.1848343771143514,0.060237231300102605,0.050617313723355394,,0.4,,0.09732047998120381,0.10110941877545533,,0.0026675979233475975,0.10321358118218281,,,,,,
2023-07,2023-07-01,retornohistorico,0.22688089404862705,0.026800202250764203,0.047415990314160904,,0.4,,0.1240465112092777,0.11712857711330796,,0.0023688376609378396,0.05535898740292416,,,,,,
2023-08,2023-08-01,retornohistorico,0.1961548605543017,0.015782581676308593,0.03721349497464956,,0.4,,0.21567526822443334,0.057903555600936414,,0.02680828870829434,0.05046195026107589,,,,,,
2023-09,2023-09-01,retornohistorico,0.2116541890877538,0.0700683978781181,0.14135414986951012,,0.2442863393141084,,0.22227246250272467,0.060603966629885604,,0.01772792236828042,0.03203257234961886,,,,,,
2023-10,2023-10-01,retornohistorico,0.33067487467037493,0.05955180676525914,0.17909069680358322,,,,0.2049806648055508,0.08109835322881737,,,0.012700969507037719,0.13189180838463152,,,,,
2023-11,2023-11-01,retornohistorico,0.24666133126818024,0.05304714011865572,0.2176274722920686,,,,0.21758111478051484,0.03773595599472095,,,0.028254684414390642,0.08342734014622935,0.11566496098523957,,,,
2023-12,2023-12-01,retornohistorico,0.22417707407020449,0.035137049830124285,0.21621861869431327,,,,0.13043757081952345,0.002848812712160256,0.18613805798342345,,0.020094960943383474,0.18494785494686738,,,,,
2024-01,2024-01-01,retornohistorico,0.18844816104983464,0.031499732687010354,0.169873564900726,,,,0.1225465657747287,0.011778216101395567,0.04900177774215875,,0.026851981744146262,,,0.3999999999999998,,,
2024-02,2024-02-01,retornohistorico,0.12212158948791502,0.026151459061352314,0.11874433410368294,,,,0.09279931526026274,0.015730075201829122,,,0.03512096225903231,0.1893322646259256,,0.4,,,
2024-03,2024-03-01,retornohistorico,0.12448657882734757,0.04996786726310064,0.16101123499176073,,,,0.15538305900899535,0.027590743260393194,,,0.04791295378137415,0.1966553923159444,,0.23699217055108393,,,
2024-04,2024-04-01,retornohistorico,0.1876330123072506,0.0524211391532844,0.1188160266062912,,,,0.22961271577159434,0.0618374200363734,,,0.030666818095695814,0.12141573537512168,,0.1975971326543885,,,
2024-05,2024-05-01,retornohistorico,0.23567632851437464,0.045710935777761426,0.026150815216829076,,,,0.2213852081592146,0.12470603223887969,,,0.016654120402717434,0.12463116908508803,,0.2050853906051352,,,
2024-06,2024-06-01,retornohistorico,0.2783042485710929,0.026036029806072353,,,,,0.18733359153731344,0.08246133450778134,,,0.003610153677608779,,,0.20746911492954953,0.2147855269705817,,
2024-07,2024-07-01,retornohistorico,0.20374405798627496,0.02540372970342193,0.002750744187691426,,0.4,,0.10606125343351641,0.07329603813985612,,,0.012230519673110842,,,,0.17651365687612836,,
