Mes,Data,Modelo,EMAE4.SA,GFSA3.SA,BRAP4.SA,GGBR4.SA,PRIO3.SA,AGRO3.SA,CSNA3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,BBAS3.SA,PSSA3.SA,EMBR3.SA,PLPL3.SA,AZUL4.SA,MOVI3.SA,MSFT34.SA,VLID3.SA,BRPR3.SA,TIMS3.SA,TEND3.SA,BPAC11.SA,PINE4.SA,TRIS3.SA,MRVE3.SA,BRSR6.SA,PETR4.SA,TRAD3.SA,CYRE3.SA,HBOR3.SA,TFCO4.SA,SUZB3.SA,BRIV3.SA,VIVT3.SA,VALE3.SA,CXSE3.SA,TOTS3.SA,LREN3.SA,USIM5.SA,EVEN3.SA,DIRR3.SA,SBSP3.SA,OIBR4.SA,POSI3.SA,PETZ3.SA,WEGE3.SA,EGIE3.SA,RDOR3.SA,CMIG4.SA,RAIL3.SA,SEQL3.SA,BBDC4.SA,SLCE3.SA,B3SA3.SA,ELET3.SA,ABEV3.SA,PCAR3.SA,RENT3.SA,ASAI3.SA,HYPE3.SA
2024-09,2024-09-01,media3m,,,,,,,,,0.01656500353079794,,,,0.06684237720480228,,,,,0.11982938731172832,,,,,,,,,,,,,,,,,,,,0.12667681510418616,,,,,,,0.0735844374952605,0.19457392548230154,,,,,0.001928053870923233,0.39999999999999997,,,,,,,,
2024-10,2024-10-01,media3m,,,,,,,,,0.0031597913420784588,,,0.3999999999999998,0.05864276871017384,,,,,0.10417314823989048,,,,,,,,,,0.021621354799387118,,,,,,0.28094760382058914,,,,0.1202102054110489,,,,,,,0.01124512767683237,,,,,,,,,,,,,,,
2024-11,2024-11-01,media3m,,,,,,,,,0.0017860141019904472,,,0.3999999999999998,,0.10586569046707091,,,,0.17131207516499097,,,0.0698993347034028,,,,,,,0.02752657476756566,,,,,,,,,,0.18095821869334933,,,,,,,0.04265209210163011,,,,,,,,,,,,,,,
2024-12,2024-12-01,media3m,,,,0.08956707376812043,,,,,,,,0.30977243195406334,0.1871014432692945,,,,0.08557913948940521,0.016262346933937924,,,,,,0.03864861969069243,,,,0.022629026438456087,,,,0.25043991845603003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01,2025-01-01,media3m,0.08041864679853666,,,,,,,,,,,,0.05522349952368851,,,,0.22339729262764435,0.032023078698089395,,,,,,,,,0.2844022140944246,0.017833235613290435,,,,0.30123623157358154,,,,,,,,,,,,,,,,,,,,,0.005465801070744316,,,,,,,
2025-02,2025-02-01,media3m,,,,,,,,,,,0.39999999999999997,,0.16835375453326085,,,,,,,,,0.057485758875341596,,0.008533032831549872,,,,,,,,,,,,,0.21335978382662896,,,,,,,,,,,,,,,,,0.15226766993321875,,,,,,
2025-03,2025-03-01,media3m,,,,,,,,,,,0.1266367671121231,,0.2502605820596663,,,,,0.012154021766294484,,,,,,0.012747763660131408,,,,,,,,,,,,,0.2394805200756608,,,,,,,,,,,,,,,,,,0.21377307136308246,0.14494727396304147,,,,
2025-04,2025-04-01,media3m,,0.0074084656353277795,,,,,,0.025146571389034266,,,,,,0.06552554818085596,,0.06422942306860281,,,,,,,,0.2977498473843419,,,,,0.4,0.08030385620287811,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059636288138959125,,,
2025-05,2025-05-01,media3m,,,,,,,,,,,,,,,,,,,,,,,,0.11223054839620727,,,,,,0.03744652874934026,,,,,,,,,,,,,,,,,,,,,,,,,,0.33633448388018394,0.029311755873542754,0.08087777943640144,0.05150589836512103,0.3522930052992035
2025-06,2025-06-01,media3m,,,,,,,,,,,,,,0.12389937218608221,,,,,,,0.06751815822106731,,,,,,,0.06727707159915006,,0.05586782112669334,0.3999999999999998,,,,,,,0.05357445186897944,,,,,,,,,,,,,,,,,,,,,0.23186312499802791,
2025-07,2025-07-01,media3m,,,,,,,,,,,,0.30915051405826227,,0.02982393299797313,,,,,,,0.03332357193017829,,0.22034384239050395,,,,,,,0.016457684327811795,0.23965240505974278,,,,,,,0.06094934229208642,,,,,,,,,,,,,,,,,,,,,,0.09029870661343667
2025-08,2025-08-01,media3m,,,,,,,,,,,,,0.04810054482273813,,,,0.34047993844918106,,,,0.03258833007216015,,0.1149441593730304,,,,,,,0.023594140524348828,0.07272157404110259,,,0.20574354111930482,,,0.16182777159813408,,,,,,,,,,,,,,,,,,,,,,,
2025-09,2025-09-01,media3m,,,,,,,,,,,,,,,,,,,,,,0.18522687208248448,0.13394568774727206,,0.09600890824670084,,,,0.01833011922266457,0.015876378595236555,,,,,,,,,,,0.125042341562065,,,,,,,0.20038086955135245,,,,,,,0.22518882299222417,,,,,
2025-10,2025-10-01,media3m,0.16839603154973146,,,,,,,,,,,,,0.02967391298037099,0.025891511800384057,0.022801631505078388,,,,,,,0.22430607146740575,,,,,,,0.016350092862608172,,,,,,,,,,,,,,,,,,0.3042715165224829,,,,,,,0.20830923131193832,,,,,
