Mes,Data,Modelo,BRIV3.SA,EMAE4.SA,PLPL3.SA,PRIO3.SA,PINE4.SA,BRAP4.SA,AGRO3.SA,GFSA3.SA,GGBR4.SA,CSNA3.SA,EMBR3.SA,WEGE3.SA,VALE3.SA,MSFT34.SA,BRPR3.SA,BBAS3.SA,CXSE3.SA,AZUL4.SA,TEND3.SA,MGLU3.SA,AERI3.SA,TRIS3.SA,MRVE3.SA,HBOR3.SA,VLID3.SA,TRAD3.SA,PETR4.SA,TFCO4.SA,VIVT3.SA,SBSP3.SA,USIM5.SA,OIBR3.SA,EVEN3.SA,DIRR3.SA,POSI3.SA,CMIG4.SA,PSSA3.SA,EGIE3.SA,PETZ3.SA,RDOR3.SA,LREN3.SA,SUZB3.SA,TOTS3.SA,B3SA3.SA,PCAR3.SA,ASAI3.SA,ELET3.SA,MOVI3.SA,BBDC4.SA
2024-10,2024-10-01,retornoultimos5m,,,,,,,,,,,0.04533995987680842,0.14347844984603159,,,,,,,,,,,,,0.08308038922536223,,,,,,,,,0.2277175360790794,,0.06864964045852394,0.4,,,0.016952338027940536,0.014781686486253855,,,,,,,,
2024-11,2024-11-01,retornoultimos5m,,,0.09897341920779568,,,,,,,,0.08592439339584539,0.3208838041405184,,,,,,,,,,,,,0.20273606145335513,0.023526199515723777,,,,,,,,,,,,,0.0542958630283799,,0.21352651504538875,,,,,,,,
2024-12,2024-12-01,retornoultimos5m,,,,,,,,,,,0.21057031671234835,0.3642195908234912,,,,,,,0.07768252273648261,,0.030357900507314656,,,,0.18498895598753465,0.025654919137771875,,,,,,,,,,,,,0.02685190266984663,,0.07967389142520995,,,,,,,,
2025-01,2025-01-01,retornoultimos5m,,,,,,,,,,,0.055944158405688414,,,0.173366635930194,,,,,,,0.007784124708534604,,,,0.0852081361892574,0.02102406667457852,,,,,,,,,,,0.4,,0.028163149777784263,,,0.22850972831396282,,,,,,,
2025-02,2025-02-01,retornoultimos5m,,0.05954832316752412,,,,,,,,,0.11343910061822093,,,,,,,,0.0016201098528127189,,,0.04257930408288666,,,,0.06417867108129512,,,,,,,,,,,0.35064465532262534,,,,,0.3370423156252785,0.030947520249356618,,,,,,
2025-03,2025-03-01,retornoultimos5m,,0.047703636459075625,,,,,,,,,0.20206152282769488,,,,,,,,0.059256594609523074,,,0.09707652964349163,,,0.06031576013644457,,,,,,,,,,,,0.051921755281801804,,,,,0.3007488112818805,0.1809153897600879,,,,,,
2025-04,2025-04-01,retornoultimos5m,,,,,,,,0.09713203481400856,,,0.2227881425630605,,,,,,,,,,,0.19143535933383113,,,,0.028776048394285027,,,,,,,,,,,,,,,,,0.21627615322829938,0.24359226166651538,,,,,
2025-05,2025-05-01,retornoultimos5m,,,,,,,,,,,,,,,,,,,,,,0.21829650242120463,,0.09545225465700138,,,,,,,,,,,,,,,,,,,,0.12645158990153,0.11838549921994491,0.04141415380031915,0.39999999999999997,,
2025-06,2025-06-01,retornoultimos5m,,,0.0421149167526041,,,,,,,,,,,,,,,,0.04633646681495272,,,0.29170506000000984,,0.022254937655281574,,0.030075142647094825,,0.4,,,,,,,,,,,,,,,,,,0.16751347613005685,,,
2025-07,2025-07-01,retornoultimos5m,,,0.07742765453032206,,,,,,,,,,,,,,,,0.08324065354543062,,,,,0.032165729741407655,,,,0.4,,,,,,0.287948249816813,,,,,,,,,,,,0.0964077079460029,,0.022810004420023854,
2025-08,2025-08-01,retornoultimos5m,,,,,0.1683068429726974,,,,,,,,,,,,,,0.08383343724989596,,,,,0.03943744505269922,,,,0.3394951913169764,,,,,,,,,,,,,0.17657284381593416,,,,0.03792249895565608,,,0.04258462992360007,0.1118471107125407
2025-09,2025-09-01,retornoultimos5m,,,,,0.18737228221609775,,,,,,,,,,,,,,0.1041519220161279,,,,0.054756775665029025,0.02988703499475991,,,,0.34393829494724715,,,,,,0.2575822824541835,,,,,,,,,,,,0.01312867433301264,,0.009182733373542178,
2025-10,2025-10-01,retornoultimos5m,,,0.01994841140756845,,0.2516083518907157,,,,,,,,,,,,,,0.04238334435197206,,,,,0.0068580752369813746,,,,0.16599681540187888,,,,,0.18338452501256702,0.07000615282559298,,,,,,,,,,,,,,,0.2598143239147435
2025-11,2025-11-01,retornoultimos5m,,0.09058066380447462,,,0.25763482237088997,,,,,,0.07798589199465158,,,,,,,0.009775004842354593,,,,,0.027066804005206446,0.028615834461707804,,,,,,,,,,0.1631940945371718,,,,,,,,,,,,,0.3451468839835431,,
