Mes,Data,Modelo,PRIO3.SA,POSI3.SA,EMAE4.SA,ASAI3.SA,WEGE3.SA,BRAP4.SA,BPAC11.SA,DIRR3.SA,CSNA3.SA,BRPR3.SA,PLPL3.SA,PETR4.SA,TOTS3.SA,CXSE3.SA,MSFT34.SA,TRIS3.SA,PINE4.SA,SBSP3.SA
2023-01,2023-01-01,retornohistorico,0.4,0.008091307235042826,0.009118920145281987,0.2524105592475367,0.11498074336460459,0.21539847000753332,,,,,,,,,,,,
2023-02,2023-02-01,retornohistorico,0.36326212788818296,0.026809764607549944,0.06867911303497322,0.1211109375823431,0.18626424164762653,0.2244363311692884,0.009437484070035904,,,,,,,,,,,
2023-03,2023-03-01,retornohistorico,0.24181507073676808,0.056305976516847385,0.03118396101326521,,0.4,0.2187248081986826,0.025954338387822483,0.01920008725850083,0.006815757888113348,,,,,,,,,
2023-04,2023-04-01,retornohistorico,0.11929724785385015,0.009375759495645607,0.02538831376175074,,0.3605307103956311,0.11923361620125815,,,,0.3661743522918641,,,,,,,,
2023-05,2023-05-01,retornohistorico,0.1919514582624891,0.055444611786543675,0.08029185880659237,,0.3999999999999965,,0.10463412638452689,0.13242080276714463,,0.0030682818443952525,0.032188860148311536,,,,,,,
2023-06,2023-06-01,retornohistorico,0.18483440993766725,0.06023710032585506,0.05061738550953632,,0.4,,0.09732030537898789,0.10110973757747174,,0.002667592322301981,0.1032134689481725,,,,,,,
2023-07,2023-07-01,retornohistorico,0.2268807003073886,0.02680019149544032,0.047416094744030086,,0.4,,0.12404636085364243,0.11712892156609866,,0.0023688296967055177,0.05535890133669397,,,,,,,
2023-08,2023-08-01,retornohistorico,0.19615473049705925,0.01578252876498985,0.03721361891630098,,0.4,,0.2156754363660318,0.05790358996637601,,0.026808371936298234,0.050461723552943885,,,,,,,
2023-09,2023-09-01,retornohistorico,0.2116542467892017,0.07006834443542259,0.1413540352584612,,0.2442859916090325,,0.22227303266223047,0.06060396183765789,,0.017727919860833788,0.032032467547159806,,,,,,,
2023-10,2023-10-01,retornohistorico,0.3306748109653101,0.059551782520815014,0.1790906138911725,,,,0.204980588441345,0.08109844257499461,,,0.012701024776182302,0.1318919177483314,,,,,,
2023-11,2023-11-01,retornohistorico,0.24666147240778913,0.053047182356952445,0.2176276797630571,,,,0.21758093959471714,0.03773606416111279,,,0.028254718712109977,0.08342693949571205,0.11566500350854932,,,,,
2023-12,2023-12-01,retornohistorico,0.22417729434454955,0.03513704520637594,0.21621873436828662,,,,0.13043744322915632,0.0028487639672565546,0.18613807166733065,,0.020094955035166555,0.18494769218187784,,,,,,
2024-01,2024-01-01,retornohistorico,0.18844783262268164,0.031499549373596954,0.1698737564176839,,,,0.12254668942713862,0.011778238790818383,0.0490022482584233,,0.026851685109657634,,,0.3999999999999996,,,,
2024-02,2024-02-01,retornohistorico,0.1221213909670888,0.026151457286390397,0.1187443065199083,,,,0.09279928380301797,0.015730015454972095,,,0.03512094618776147,0.18933259978086092,,0.4,,,,
2024-03,2024-03-01,retornohistorico,0.12448659011766253,0.04996790190333268,0.1610112801542156,,,,0.1553827702625548,0.027590718915069062,,,0.04791291250528063,0.19665495594789625,,0.23699287019398843,,,,
2024-04,2024-04-01,retornohistorico,0.187633030574955,0.05242120479904219,0.11881595695652228,,,,0.22961212053381988,0.061837620332019984,,,0.030666747552107243,0.12141552598383343,,0.19759779326770008,,,,
2024-05,2024-05-01,retornohistorico,0.2356761978153862,0.04571088306383697,0.02615079285371127,,,,0.22138532141708894,0.12470602720256473,,,0.01665403660620457,0.12463103370789927,,0.20508570733330808,,,,
2024-06,2024-06-01,retornohistorico,0.2783038523616462,0.026035994176541014,,,,,0.1873338188325608,0.0824612782662743,,,0.003610160946567942,,,0.2074689091026527,0.21478598631375703,,,
2024-07,2024-07-01,retornohistorico,0.20374392955936393,0.025403670553770887,0.0027507434550455854,,0.3999999999999996,,0.10606142230067461,0.07329584178817204,,,0.012230599919959608,,,,0.17651379242301374,,,
2024-08,2024-08-01,retornohistorico,0.27382515950367603,0.026514448714382254,0.007003360297448724,,0.3335101787242409,,0.10797863729282622,0.049394041104009405,,,0.009057630000210731,,,0.1927165443632058,,,,
