Mes,Data,Modelo,GFSA3.SA,EMAE4.SA,AGRO3.SA,BRPR3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,PCAR3.SA,CSNA3.SA,BBAS3.SA,PSSA3.SA,TIMS3.SA,SUZB3.SA,MSFT34.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,PLPL3.SA,MOVI3.SA,EMBR3.SA,VLID3.SA,CMIG4.SA,BPAC11.SA,TRIS3.SA,TEND3.SA,MRVE3.SA,HBOR3.SA,LREN3.SA,TRAD3.SA,POSI3.SA,ASAI3.SA,PRIO3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,SLCE3.SA,PETR4.SA,BRIV3.SA,SBSP3.SA,VALE3.SA,VIVT3.SA,SANB11.SA,TOTS3.SA,EVEN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,CXSE3.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,RDOR3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,BBDC4.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,HYPE3.SA,TFCO4.SA
2023-01,2023-01-01,retornoultimomes,0.4,0.3999999999999962,0.02568725226031866,0.1743127477396734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,retornoultimomes,,,,,0.2713400502397984,0.10906593895348524,0.06669352449721977,0.10016219606926592,0.2067082153486299,0.24603007489160048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,retornoultimomes,,,,,,,,,,,0.28403192939798083,0.3016692917777935,0.15872886957977986,0.15069552559652064,0.049827916405213814,0.055046467242710666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,retornoultimomes,,,,,,,,,,,,,,0.19799654008438008,,,0.059076493192039066,0.16409907922198527,0.04511951016665523,0.3494534224397245,0.07603610102495588,0.10821885387025867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,retornoultimomes,,0.2902347893111025,,0.017207620834929948,,0.02644902692998803,,,,,,0.39999999999999497,,,,,,,,,,,0.1353686461941399,0.10717563854225085,0.02356427818759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,retornoultimomes,,,,,,,,,,,,,,,0.4,,0.016268675376113848,,,,0.14707740110021023,,,0.17781490279579895,0.053875270671586206,0.0582568683881131,0.09314443434715838,0.05356244732028434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,retornoultimomes,0.05677666992472429,,,0.005772068931751887,,,,,,,,,,,,,0.013519035045475641,0.2030891838666458,,,,,,,0.0826340649951697,,,,0.33482629048564944,0.12476572024355836,0.17861696650702474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,retornoultimomes,,,,,,,,,,,,,,,0.05679730437347771,,,0.03138358912876275,,,,,,,,0.016089073368830725,,,,,,0.1230062503490156,0.4,0.08842208194182281,0.1508254695902085,0.1334762312478811,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,retornoultimomes,,,,,,,,,,,,,0.23653632306083874,,,,,,0.014533980445443604,0.060920058681125926,0.03207581601607678,,,,0.02689070166161514,,,,,,,,,,,,0.27412569137134346,0.20745621714057658,0.1474612116229798,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,retornoultimomes,,0.12494282943892897,0.37104757602925875,,,,,,,,,,0.17619361938931632,,,,,,,,,,,,,,,,,,,,,,,,0.09259838806176583,0.12333245340829951,0.06023206408260276,0.010452413671872569,0.04120065591795531,,,,,,,,,,,,,,,,,,,,,
2023-11,2023-11-01,retornoultimomes,0.13202655123502022,,,,,,,,,0.018342640050850404,,,,0.2814424578213153,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35956510524677077,0.20862324550931882,,,,,,,,,,,,,,,,,,,,
2023-12,2023-12-01,retornoultimomes,,,,,0.02516007006725914,,,,0.39999999999911195,,,,,,,,0.004120163542714424,,,,0.1182547008901365,,,,,,,0.1433183871618869,,,,,,,,,,,,,,,0.30914667833833803,,,,,,,,,,,,,,,,,,,
2024-01,2024-01-01,retornoultimomes,0.08812317117537356,,,,,,,,0.14712106718055895,,,,,,0.12083956409326123,,,,,,,,,,,,,,,,,,,0.07471318765392115,,,,,,,,,,0.14755699559913388,0.4,0.02164601429775119,,,,,,,,,,,,,,,,
2024-02,2024-02-01,retornoultimomes,0.014431343153654425,,,,,,,,,,,,,0.1779467685664379,,,,,,,,,,,,,,,,,,,,,,,0.16268844059234003,,0.0839314519961399,,,,,,,,0.20679667712183916,0.3542053185696695,,,,,,,,,,,,,,
2024-03,2024-03-01,retornoultimomes,,,,,,,0.04449863709015963,,,,,,,,0.034211150118374695,,,0.03018369576397542,,,,,,,,,,,0.19985149770793847,,,,0.0943109965668618,,,,,0.3999999999985526,,,,,,,0.1643926489337925,,,,0.032551373820344884,,,,,,,,,,,,,
2024-04,2024-04-01,retornoultimomes,,,,,,,,,,,,,0.1509985858742745,,,,,,,0.39017765461324555,,,,0.010498331964277947,0.009513007056061453,,,,,0.16347630905085309,,0.12379261871295173,,,,,,,,,,,,,,,,0.15154349272833573,,,,,,,,,,,,,,
2024-05,2024-05-01,retornoultimomes,,,,,,,0.007327457423978457,,,,,,,,,0.1350267396446814,,,,,,,,,,,,,0.03387351457219496,,,,,,,,0.33963124313265625,,,,,0.2063054935012623,,,,,,0.12051114768243239,0.08627259007792303,0.07105181396487126,,,,,,,,,,,,
2024-06,2024-06-01,retornoultimomes,,,,,,,,,,,,,,0.20575668026335137,,,,,,0.06291929106698498,,,,,,,,,,,,,,,,,,,,,,,0.07960332939375901,,,0.05913096785563709,,,,0.3504099466719586,0.1880292341104143,0.054150550637894854,,,,,,,,,,
2024-07,2024-07-01,retornoultimomes,,,,,,,,,,,,,0.10439857379327959,0.21113879253563061,,0.39999999999997193,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07441389637775073,,,0.01023778665546884,,,,,,,0.08720701938162974,0.11260393125627247,,,,,,,,
2024-08,2024-08-01,retornoultimomes,,,,,,,,,,,,0.12055124919474004,,,,0.4,,0.053116420691307814,0.0015087216533056674,0.08667100969790753,0.10081602948513309,,,,0.030213843625106325,,,,,,,,,,,,,,0.2071227256523462,,,,,,,,,,,,,,,,,,,,,,,
2024-09,2024-09-01,retornoultimomes,,,,,,0.21618646306230344,0.003603354483236814,,,,,,,,,,,,,,0.19642317724901967,,,,,,,0.09560535584995221,,,,,,,,,,,,,,,,,,,,,0.07998157828989912,,,,,,0.008200071065572847,0.3999999999999713,,,,,,
2024-10,2024-10-01,retornoultimomes,,,,,,,0.003884145000330155,,0.013320648595533526,,0.3662189874791929,,,,,,0.01405907342364973,,,,,,,,,,,,0.07363701596371758,,,,,,,,,,,0.2671545017792752,0.20498000236655856,,,,,0.05674562539174239,,,,,,,,,,,,,,,,
2024-11,2024-11-01,retornoultimomes,,,,,,,,,,,,,0.3999999999999921,,,,,0.07820477942591715,,0.09839101728156986,,,,,0.14390097988617123,,,,0.028012510786321703,0.15040423067156242,0.08469377484743705,,,,,,,,,,,,,,0.016392707101028456,,,,,,,,,,,,,,,,,
2024-12,2024-12-01,retornoultimomes,,,,,,,,,,,,,0.12102413424738095,,,,,,,0.12761026689886015,0.024971808228097456,0.2471229018832041,,,,,,,0.001458590573971186,,,,,,0.19008898669486834,,0.22737839023679343,,,,,,,,,,,0.06034492123682437,,,,,,,,,,,,,,
2025-01,2025-01-01,retornoultimomes,,0.07754807031307319,,,,0.00731254594151017,,,,,,,0.29790368985841176,0.29624288295313483,,,,,,,,,,,,,,,0.014975972597895652,,,0.04713768326461946,,,,0.08695122685534153,,,,,,,,,,,,,,,,,,,,,0.17192792821601346,,,,,
2025-02,2025-02-01,retornoultimomes,,,,,,,0.012037155560337983,,,,,,,,,,0.0272855735307793,0.07551503667538718,,,,,0.35377607570256736,0.19611137483993826,,,,,,,0.022622255673101846,,,0.13530956740877206,,,,,,,,,0.1773429606091161,,,,,,,,,,,,,,,,,,,
2025-03,2025-03-01,retornoultimomes,,,,,,,,,,,,0.05725967000563125,,,,,,,,0.21671668231858204,0.06482565843922573,,,,,,,,,,,,,,,,,,,,,,0.06814095257870564,,,,,0.019560182343404356,,,,,,,,,,0.4,0.17349685431445053,,,
2025-04,2025-04-01,retornoultimomes,0.24939507589551474,,,,0.04679876870394237,,,0.05885698862413149,,,,,,,,,,,0.0931064772487617,,,,,,,,0.03478716664672135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39999999999999875,,0.1170555228809274,,
2025-05,2025-05-01,retornoultimomes,,,,,,,,0.15067271537120766,,,,,,,,,,,0.04204856339464085,,,,,,,,0.16937899012701335,,,0.07125567656263782,0.004652497866987268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1619915566775156,0.399999999999994,
2025-06,2025-06-01,retornoultimomes,,,,,,,,,,,0.21799544553209066,,,,,,,0.052149611416347594,,,,,,,0.09291619938006851,,,,0.0622095146986032,,0.04681309554706335,,,,,,,,,,,,,0.12791613342582683,,,,,,,,,,,,,,,,,,0.4
2025-07,2025-07-01,retornoultimomes,,,,,,,,,,,,0.1797584684724581,,,0.19865844415168912,,,,,0.10725409211034069,,,,,,0.0663734598595057,,0.021076832867254897,,,,,0.002120315716861114,,,,,,,,0.1518314005038164,,,,,,,,,0.2729269863462542,,,,,,,,,,,,
2025-08,2025-08-01,retornoultimomes,,,,,,,,0.062282548091587425,,,,,,0.3999999999999895,0.062268009076670905,,,,,,,,,,,,0.07473407853857049,,0.0499297047361013,,,,,,0.09609201029785917,,,,,,,,0.214420898376421,,,,,,0.04027275088280026,,,,,,,,,,,,,
2025-09,2025-09-01,retornoultimomes,,,,,,,,,,,,,,,,,,,,,,,0.15900074917024062,,,0.07176071491991061,,,,,,,,0.02023659879146625,,,,,,,,,,,,0.11571414188361945,,,,,,0.34430868025157346,,,,,,,0.28897911498318807,,,
2025-10,2025-10-01,retornoultimomes,,0.2896788293407683,,,0.009325106280439144,,,,,,,,,,0.31980092336182203,,0.034875769030731966,0.07042129910120046,0.026308481856231646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2487915383809589,,,
2025-11,2025-11-01,retornoultimomes,,0.10852654463643341,,,,,,,0.024423169886124772,,,,,,0.0768160308677574,0.21892633087305288,,,,0.0783696923985368,,,,,,,,,0.03647628603731907,,,,,,,,,,,,,,,,0.17491642189157894,,0.28154552340919675,,,,,,,,,,,,,,,
