Mes,Data,Modelo,BRIV3.SA,EMAE4.SA,PLPL3.SA,PRIO3.SA,PINE4.SA,BRAP4.SA,AGRO3.SA,GFSA3.SA,GGBR4.SA,CSNA3.SA,EMBR3.SA,WEGE3.SA,VALE3.SA,MSFT34.SA,BRPR3.SA,BBAS3.SA,CXSE3.SA,AZUL4.SA,TEND3.SA,MGLU3.SA,AERI3.SA,TRIS3.SA,MRVE3.SA,HBOR3.SA,VLID3.SA,TRAD3.SA,PETR4.SA,TFCO4.SA,VIVT3.SA,SBSP3.SA,USIM5.SA,OIBR3.SA,EVEN3.SA,DIRR3.SA,POSI3.SA,CMIG4.SA,PSSA3.SA,EGIE3.SA,PETZ3.SA,RDOR3.SA,LREN3.SA,SUZB3.SA,TOTS3.SA,B3SA3.SA,PCAR3.SA,ASAI3.SA,ELET3.SA,MOVI3.SA,BBDC4.SA
2023-01,2023-01-01,retornoultimos5m,0.08982065724511132,0.20954703149101103,0.008822283197656919,0.1548159074854317,0.27592321423266597,0.20444477828477337,0.05662612806334958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,2023-02-01,retornoultimos5m,0.16380281898324445,0.13246645526485945,0.058790583426028824,0.14671130376767605,,0.2940458355863391,,0.01749318575480544,0.18668981721704664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,2023-03-01,retornoultimos5m,,0.06999829947642129,,,,0.13762385490072573,,0.007657284395331085,0.10561396326025795,0.0643407465521682,0.24754174710375318,0.30896842021469834,0.058255684096644146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,2023-04-01,retornoultimos5m,0.11939043453774784,,0.055303903520637424,,,0.06364775193190012,,,,0.08045581157097076,0.3840118246135683,,0.19909546244179693,0.09809481138337856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,2023-05-01,retornoultimos5m,,0.12663030023330013,0.08094691023814682,,,,,0.023953122326412998,,,0.2618192626685941,,,,0.010716726335110605,0.23719131550079586,0.25874236269763945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,2023-06-01,retornoultimos5m,,,0.21638770397783222,,0.39999999999999997,,,,,,,,,,0.01639936552230666,,,0.027610947658600962,0.11491324016776346,0.051194701090433094,0.03488061784968338,0.13861342373338034,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,2023-07-01,retornoultimos5m,,,0.22362430326927593,,0.17750826515195114,,,,,,,,,,0.014201140109503239,,,0.17763571820306065,0.20951613998287277,,,0.15662351864418586,0.010848533146138444,0.03004238149301202,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08,2023-08-01,retornoultimos5m,,,0.17905696243906694,,0.09973166413387219,,,,,,,,,,0.2101977537485621,,,0.1156028220436634,0.0988976194194338,,,0.14027327284516244,0.09070436657972054,0.06553553879051854,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,2023-09-01,retornoultimos5m,,,0.08658649970422246,,0.08949294817664494,,,,,,,,,,0.11535270946218182,,,,0.13080138384903137,,,0.08381939251450302,0.08580805914865612,,0.39999999999999997,0.008139007144760282,,,,,,,,,,,,,,,,,,,,,,,
2023-10,2023-10-01,retornoultimos5m,,,0.046984615039355776,,0.16205751300380503,,,,,,,,,,,,,0.007759475774083442,0.07445398665559232,,,0.030047034157800984,0.08414660410042042,,0.2326192704471776,,0.3619315008217645,,,,,,,,,,,,,,,,,,,,,,
