Mes,Data,Modelo,GFSA3.SA,EMAE4.SA,AGRO3.SA,BRPR3.SA,MGLU3.SA,AERI3.SA,OIBR3.SA,PCAR3.SA,CSNA3.SA,BBAS3.SA,PSSA3.SA,TIMS3.SA,SUZB3.SA,MSFT34.SA,PINE4.SA,WEGE3.SA,AZUL4.SA,PLPL3.SA,MOVI3.SA,EMBR3.SA,VLID3.SA,CMIG4.SA,BPAC11.SA,TRIS3.SA,TEND3.SA,MRVE3.SA,HBOR3.SA,LREN3.SA,TRAD3.SA,POSI3.SA,ASAI3.SA,PRIO3.SA,OIBR4.SA,CYRE3.SA,GGBR4.SA,SLCE3.SA,PETR4.SA,BRIV3.SA,SBSP3.SA,VALE3.SA,VIVT3.SA,SANB11.SA,TOTS3.SA,EVEN3.SA,USIM5.SA,DIRR3.SA,BRSR6.SA,CXSE3.SA,PETZ3.SA,EGIE3.SA,CPFE3.SA,RDOR3.SA,RAIL3.SA,EQTL3.SA,SEQL3.SA,BBDC4.SA,B3SA3.SA,ABEV3.SA,ELET3.SA,RENT3.SA,HYPE3.SA,TFCO4.SA
2024-08,2024-08-01,retornoultimomes,,,,,,,,,,,,0.12055093108535521,,,,0.39999999999988006,,0.05311636381702938,0.0015088073244673827,0.08667121332295162,0.10081599019963966,,,,0.03021396899315326,,,,,,,,,,,,,,0.20712272525752345,,,,,,,,,,,,,,,,,,,,,,,
2024-09,2024-09-01,retornoultimomes,,,,,,0.2161862887435886,0.0036033770339723896,,,,,,,,,,,,,,0.19642331475328614,,,,,,,0.09560539595348631,,,,,,,,,,,,,,,,,,,,,0.0799816477214176,,,,,,0.008199975794228044,0.39999999999996144,,,,,,
2024-10,2024-10-01,retornoultimomes,,,,,,,0.0038841790361818502,,0.013320291090800077,,0.3662172050600281,,,,,,0.014059026724966246,,,,,,,,,,,,0.07363697006580834,,,,,,,,,,,0.26715583792703484,0.20498072722925917,,,,,0.056745762865921534,,,,,,,,,,,,,,,,
2024-11,2024-11-01,retornoultimomes,,,,,,,,,,,,,0.3999999999999876,,,,,0.07820472984812998,,0.09839101618508383,,,,,0.14390114609862434,,,,0.028012498878347655,0.1504041672400114,0.08469375099496101,,,,,,,,,,,,,,0.01639269075485405,,,,,,,,,,,,,,,,,
2024-12,2024-12-01,retornoultimomes,,,,,,,,,,,,,0.1210240855059722,,,,,,,0.1276101280443768,0.024971970563095684,0.24712357003264704,,,,,,,0.0014586293326559869,,,,,,0.1900885096713758,,0.22737860706182716,,,,,,,,,,,0.06034449978804939,,,,,,,,,,,,,,
2025-01,2025-01-01,retornoultimomes,,0.07754813469617414,,,,0.0073125748585464055,,,,,,,0.29790401403596056,0.29624315939468915,,,,,,,,,,,,,,,0.014975997749505303,,,0.047137777470411896,,,,0.08695139344514767,,,,,,,,,,,,,,,,,,,,,0.17192694834956496,,,,,
2025-02,2025-02-01,retornoultimomes,,,,,,,0.012037174965780635,,,,,,,,,,0.027285608197484396,0.07551502621619975,,,,,0.3537757343221908,0.19611153106100443,,,,,,,0.022622293772399323,,,0.13530967156374593,,,,,,,,,0.17734295990119472,,,,,,,,,,,,,,,,,,,
2025-03,2025-03-01,retornoultimomes,,,,,,,,,,,,0.05726010125236716,,,,,,,,0.2167172158912112,0.0648259398966588,,,,,,,,,,,,,,,,,,,,,,0.06814125983837355,,,,,0.019560690331307064,,,,,,,,,,0.4,0.17349479279008187,,,
2025-04,2025-04-01,retornoultimomes,0.24939512317211504,,,,0.0467987637117881,,,0.05885700341210103,,,,,,,,,,,0.09310648699972436,,,,,,,,0.03478709861111819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3999999999999998,,0.11705552409315279,,
2025-05,2025-05-01,retornoultimomes,,,,,,,,0.1506727325446769,,,,,,,,,,,0.04204858974352948,,,,,,,,0.1693789400714352,,,0.07125563478113492,0.004652523181451212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1619915796777773,0.3999999999999896,
2025-06,2025-06-01,retornoultimomes,,,,,,,,,,,0.21799505706117292,,,,,,,0.05214966358102799,,,,,,,0.0929163182922797,,,,0.062209570272857735,,0.04681306849458781,,,,,,,,,,,,,0.12791632229807573,,,,,,,,,,,,,,,,,,0.3999999999999972
2025-07,2025-07-01,retornoultimomes,,,,,,,,,,,,0.17975933337294764,,,0.19865770551469003,,,,,0.10725385158517518,,,,,,0.0663732845489018,,0.021076846225996478,,,,,0.002120340185342999,,,,,,,,0.15183169358666052,,,,,,,,,0.27292694495214664,,,,,,,,,,,,
2025-08,2025-08-01,retornoultimomes,,,,,,,,0.06228257098480432,,,,,,0.3999999999999987,0.06226803206766525,,,,,,,,,,,,0.07473410542520001,,0.04992972510915124,,,,,,0.09609178618131142,,,,,,,,0.21442100725226376,,,,,,0.04027277297960535,,,,,,,,,,,,,
2025-09,2025-09-01,retornoultimomes,,,,,,,,,,,,,,,,,,,,,,,0.1590007934956731,,,0.07176069591578382,,,,,,,,0.020236639532854525,,,,,,,,,,,,0.1157141417912136,,,,,,0.3443087129571668,,,,,,,0.2889790163073114,,,
2025-10,2025-10-01,retornoultimomes,,0.2896787687918761,,,0.009325159987267058,,,,,,,,,,0.3198014197111629,,0.034875752164444544,0.07042125446923031,0.026308524746867182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24879105735283055,,,
